Index,Value
0.0,78.02522506260924
1.0,78.04976262970617
2.0,78.04991913627481
3.0,78.11400537558387
4.0,78.11462072926032
5.0,78.13237365642028
6.0,78.17573952011465
7.0,78.19161496689551
8.0,78.2013760435767
9.0,78.23024371080403
10.0,78.23395225679221
11.0,78.23480368063039
12.0,78.24201609691502
13.0,78.24796485290756
14.0,78.25156881115632
15.0,78.33817947569777
16.0,78.36726488934548
17.0,78.39759681676371
18.0,78.39873692734774
19.0,78.43009567134067
20.0,78.47326709205697
21.0,78.48871826008815
22.0,78.50071237003826
23.0,78.50190745642803
24.0,78.51526684939213
25.0,78.52742512548645
26.0,78.54795907232499
27.0,78.58045724579037
28.0,78.59959741506368
29.0,78.61238608458761
30.0,78.61832925241569
31.0,78.65687061084273
32.0,78.65773691975178
33.0,78.67331685898013
34.0,78.68402147618993
35.0,78.68651882872919
36.0,78.75452618918855
37.0,78.76943163675948
38.0,78.78211185707221
39.0,78.78803686490505
40.0,78.79366571022352
41.0,78.79591567007441
42.0,78.83044602321083
43.0,78.83105335236569
44.0,78.85501971072019
45.0,78.85934321880876
46.0,78.88363589325435
47.0,78.9275661085567
48.0,78.94069766729565
49.0,78.9411683606155
50.0,78.95017539460736
51.0,78.96545493298093
52.0,78.96599765813816
53.0,79.03727990708398
54.0,79.10870962413856
55.0,79.13233189870994
56.0,79.21143918938513
57.0,79.22973647231048
58.0,79.23461939284299
59.0,79.31983764036649
60.0,79.33655782457078
61.0,79.34663787639649
62.0,79.34906685340196
63.0,79.35144860438082
64.0,79.36726389060546
65.0,79.38013448440468
66.0,79.40012246617985
67.0,79.4769831506252
68.0,79.52448576312774
69.0,79.53322048323137
70.0,79.54158934579185
71.0,79.57097369064547
72.0,79.581436218442
73.0,79.67351194682897
74.0,79.74996391432411
75.0,79.79384830860373
76.0,79.82189027923573
77.0,79.84357605447485
78.0,79.8532618046079
79.0,79.9332169279767
80.0,79.93546275857682
81.0,79.94621935211894
82.0,79.99804743290548
83.0,80.00442018246059
84.0,80.03530060354215
85.0,80.0806914543773
86.0,80.10396258744228
87.0,80.11731486237731
88.0,80.12810823337593
89.0,80.1521332430415
90.0,80.27366251286149
91.0,80.30865434780627
92.0,80.31699981464516
93.0,80.32002859228766
94.0,80.32518458328641
95.0,80.32538673868423
96.0,80.34389228353504
97.0,80.34971412262445
98.0,80.42751675351776
99.0,80.43052541419222
100.0,80.45600367825783
101.0,80.4808127289059
102.0,80.5534745620556
103.0,80.72995841969724
104.0,80.76864594189634
105.0,80.82107240498875
106.0,80.83513517371718
107.0,80.86840183256741
108.0,80.87683356681471
109.0,80.87985637410662
110.0,80.88846773580336
111.0,80.90971741005855
112.0,80.94565470871858
113.0,80.9490376509622
114.0,80.97314539082714
115.0,80.98404956279683
116.0,81.00752013074359
117.0,81.02402505024372
118.0,81.0650417273052
119.0,81.07741973070569
120.0,81.08796791597771
121.0,81.08927757563528
122.0,81.09618151941328
123.0,81.11262671695474
124.0,81.13402642342284
125.0,81.21194044519568
126.0,81.2400253433523
127.0,81.24203875347911
128.0,81.24215574838428
129.0,81.26867041205116
130.0,81.27873427644866
131.0,81.28777225341433
132.0,81.29023875716332
133.0,81.32237486211366
134.0,81.33433861335807
135.0,81.34556861606055
136.0,81.35247852527822
137.0,81.3867285400222
138.0,81.46675577161136
139.0,81.52839215964204
140.0,81.52904666943829
141.0,81.53282752896195
142.0,81.54178034198574
143.0,81.56734659978638
144.0,81.61195806534369
145.0,81.62730505098129
146.0,81.69416625209901
147.0,81.71069081108365
148.0,81.80583624137282
149.0,81.80618729421617
150.0,81.89231506738287
151.0,81.965397565733
152.0,82.06161774019574
153.0,82.08522992546318
154.0,82.106209189672
155.0,82.11489948945514
156.0,82.22973303444968
157.0,82.23054204280841
158.0,82.23414457352241
159.0,82.28715084686826
160.0,82.30250313659177
161.0,82.30847402590685
162.0,82.38778455317136
163.0,82.40120487246145
164.0,82.40697231593562
165.0,82.42400609551834
166.0,82.46555877844577
167.0,82.57076791753965
168.0,82.63575250117096
169.0,82.65680784987771
170.0,82.73633784113042
171.0,82.74834354147335
172.0,82.78003236971007
173.0,82.78385017574033
174.0,82.90065309996365
175.0,82.93017716814883
176.0,82.95039132997681
177.0,83.00062124919334
178.0,83.04470885667264
179.0,83.06357988412503
180.0,83.06904665277537
181.0,83.0792112795714
182.0,83.08123934775335
183.0,83.21540607993906
184.0,83.22119372600234
185.0,83.25127825039013
186.0,83.3232228354175
187.0,83.34857829802434
188.0,83.45371036569709
189.0,83.4608058594014
190.0,83.64123744612763
191.0,83.68880215966485
192.0,83.80464279837355
193.0,83.84918020047566
194.0,83.98571513423003
195.0,84.13896513502817
196.0,84.14569911104648
197.0,84.33503811519566
198.0,84.35147529294227
199.0,84.41773444723658
200.0,84.45001073413975
201.0,84.49230067185624
202.0,84.52327845209865
203.0,84.54176448910012
204.0,84.57497757418805
205.0,84.83525815468718
206.0,85.07663634205193
207.0,85.14070001364482
208.0,85.18195608635719
209.0,85.23670081690989
210.0,85.26276429982128
211.0,85.29374396766555
212.0,85.3071477790088
213.0,85.32571525544893
214.0,85.45614858263424
215.0,85.67179788265143
216.0,85.79970458934507
217.0,86.20363312786473
218.0,86.21436299207517
219.0,86.43542409250966
220.0,86.45803162557132
221.0,86.47121422103902
222.0,86.47645681214556
223.0,86.55935772263928
224.0,86.84032956525212
225.0,86.85501870243743
226.0,87.12077230213612
227.0,87.31098069070744
228.0,87.3760115188062
229.0,87.43863894830758
